1	1	5
2	2	3
3	1	5
4	1	3
5	2	1
6	2	3
7	2	3
8	2	4
9	1	3
10	2	5
11	2	3
12	2	3
13	1	3
14	2	4
15	1	5
16	1	4
17	1	5
18	2	6
19	1	4
20	1	4
21	2	1
22	2	3
23	2	3
24	1	4
25	2	3
26	2	3
27	1	3
28	2	3
29	2	3
30	1	6
31	1	4
32	2	4
33	1	3
34	1	3
35	1	4
36	1	4
37	1	3
38	2	4
39	2	3
40	2	3
41	1	3
42	2	3
43	1	3
44	1	3
45	1	4
46	1	3
47	1	1
48	1	3
49	1	3
50	2	3
51	1	4
52	2	3
53	1	6
54	2	4
55	1	6
56	1	3
57	1	4
58	1	6
59	2	3
60	2	4
61	0	3
62	2	3
63	2	3
64	1	5
65	1	3
66	1	4
67	1	3
68	1	3
69	1	3
70	1	5
71	1	4
72	1	5
73	2	3
74	2	3
75	1	3
76	2	4
77	1	3
78	2	3
79	2	4
80	2	3
81	2	3
82	1	3
83	2	3
84	2	4
85	2	3
86	1	3
87	2	3
88	1	4
89	1	1
90	2	4
91	2	3
92	1	3
93	2	4
94	2	6
95	1	5
96	2	3
97	2	3
98	1	5
99	2	3
100	1	1
101	2	3
102	1	5
103	2	6
104	1	4
105	1	4
106	1	5
107	2	3
108	2	3
109	2	3
110	1	3
111	1	4
112	1	4
113	1	3
114	1	5
115	2	3
116	2	3
117	2	4
118	1	3
119	1	5
120	2	3
121	1	3
122	2	3
123	2	3
124	2	3
125	2	3
126	1	3
127	0	5
128	1	4
129	1	3
130	1	3
131	2	3
132	2	3
133	2	3
134	1	3
135	2	3
136	1	3
137	1	5
138	1	3
139	1	4
140	1	5
141	2	3
142	2	3
143	1	5
144	1	4
145	2	3
146	2	3
147	2	3
148	2	4
149	1	5
150	2	4
151	1	6
152	2	3
153	2	5
154	2	2
155	2	4
156	1	6
157	1	4
158	2	3
159	1	5
160	1	4
161	1	6
162	2	3
163	2	3
164	1	1
165	2	3
166	1	2
167	2	3
168	2	3
169	1	3
170	1	4
171	1	5
172	1	3
173	2	3
174	1	2
175	1	3
177	1	6
178	1	3
179	1	3
180	1	6
181	2	2
182	2	3
183	1	3
184	1	4
185	1	3
186	1	3
187	2	4
188	2	3
189	2	3
190	1	3
191	1	5
192	2	6
193	1	3
194	1	4
